鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南區,房地(土地+建物),臺南市南區惠南街１０９巷２０號三樓之２,4.96,都市：其他:住宅區,,,1150903,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790412,22.4,1,0,1,有,有,1350000,60268,,0.0,0,,RPVNMLRJRHLGFCD56DA,14.88,0.0,1.45,有,
麻豆區,土地,安西段984地號,21.38,,鄉村區,乙種建築用地,1150902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,144000,6735,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSJRHLGFFD76DA,0.0,0.0,0.0,無,
北區,土地,北安段1376地號,59.83,都市：其他:道路用地(兼供河川使用),,,1150806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4774149,79795,,0.0,0,協議價購；,RPSNMLRLQHLGFAD78DA,0.0,0.0,0.0,無,001
北區,土地,北安段1376地號,59.83,都市：其他:道路用地(兼供河川使用),,,1150806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4774149,79795,,0.0,0,協議價購；,RPTNMLRLQHLGFAD88DA,0.0,0.0,0.0,無,001
北區,土地,北安段1376地號,59.83,都市：其他:道路用地(兼供河川使用),,,1150806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4774149,79795,,0.0,0,協議價購；,RPUNMLRLQHLGFAD98DA,0.0,0.0,0.0,無,001
北區,土地,北安段1376地號,83.76,都市：其他:道路用地(兼供河川使用),,,1150806,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6683808,79797,,0.0,0,協議價購；,RPVNMLRLQHLGFAD09DA,0.0,0.0,0.0,無,001
安南區,房地(土地+建物),臺南市安南區田六街１８號,107.43,都市：其他:住宅區,,,1150804,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0910412,188.89,5,2,3,有,無,9500000,50294,,0.0,0,其他增建；,RPRNMLNKQHLGFBD28DA,174.12,0.0,14.77,無,
東區,房地(土地+建物),臺南市東區慶東街１２７巷４號三樓,29.86,都市：其他:住宅區,,,1150809,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700202,90.57000000000001,3,2,2,有,無,5120000,56531,,0.0,0,其他增建；,RPQNMLTJQHLGFCD78DA,77.76,0.0,0.0,無,005
南區,房地(土地+建物)+車位,臺南市南區水交社路２０巷３號七樓,20.55,都市：其他:住宅區,,,1150810,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1071114,133.36,2,2,1,有,有,8240000,61788,坡道平面,35.45,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLNKQHLGFCD48DA,54.27,0.0,10.65,有,006
東區,房地(土地+建物)+車位,臺南市東區崇明十三街１１巷７３號三樓之１,20.72,都市：其他:住宅區,,,1150818,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861003,129.57,3,2,2,有,有,7600000,58656,坡道平面,0.0,0,其他增建；,RPXNMLKLQHLGFCD78DA,71.91,0.0,7.69,有,
南區,房地(土地+建物),臺南市南區福吉四街２４號,76.0,都市：其他:住宅區,,,1150817,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0650910,188.34,4,2,3,有,無,4500000,23893,,0.0,0,土地增值稅印花稅規費由買方負擔含地政士服務費20000元；親友、員工、共有人或其他特殊關係間之交易；,RPPOMLQLQHLGFCD68DA,188.34,0.0,0.0,無,
柳營區,房地(土地+建物),臺南市柳營區義士路一段８３２巷１２號,183.0,,鄉村區,乙種建築用地,1150819,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,,24.28,3,1,1,有,無,2200000,90610,,0.0,0,,RPPNMLMLQHLGFDD28DA,24.28,0.0,0.0,無,007
柳營區,土地,篤農段15-1地號,810.62,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,972744,1200,,0.0,0,協議價購；,RPPNMLPLQHLGFDD58DA,0.0,0.0,0.0,無,
柳營區,土地,篤農段17地號,20.68,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19228,930,,0.0,0,協議價購；,RPQNMLPLQHLGFDD68DA,0.0,0.0,0.0,無,008
柳營區,土地,篤農段18-1地號,29.82,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,35780,1200,,0.0,0,協議價購；,SPQNMLPLQHLGFDD78DA,0.0,0.0,0.0,無,009
柳營區,土地,篤農段100-3地號,141.62,,一般農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,131707,930,,0.0,0,協議價購；,RPSNMLPLQHLGFDD88DA,0.0,0.0,0.0,無,
柳營區,土地,篤農段17地號,41.35,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,38456,930,,0.0,0,協議價購；,RPTNMLPLQHLGFDD98DA,0.0,0.0,0.0,無,008
柳營區,土地,篤農段18-1地號,116.86,,特定農業區,水利用地,1150803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,140236,1200,,0.0,0,協議價購；,SPTNMLPLQHLGFDD09DA,0.0,0.0,0.0,無,
柳營區,土地,小腿段975-1地號,123.67,,一般農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,115010,930,,0.0,0,協議價購；,RPUNMLPLQHLGFDD09DA,0.0,0.0,0.0,無,011
柳營區,土地,篤農段17地號,2.58,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2404,932,,0.0,0,協議價購；,RPVNMLPLQHLGFDD56DA,0.0,0.0,0.0,無,008
柳營區,土地,篤農段18-1地號,3.73,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4472,1199,,0.0,0,協議價購；,SPVNMLPLQHLGFDD66DA,0.0,0.0,0.0,無,009
柳營區,土地,篤農段17地號,1.72,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1602,931,,0.0,0,協議價購；,RPWNMLPLQHLGFDD66DA,0.0,0.0,0.0,無,008
柳營區,土地,篤農段18-1地號,2.48,,特定農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2982,1202,,0.0,0,協議價購；,SPWNMLPLQHLGFDD76DA,0.0,0.0,0.0,無,009
柳營區,土地,小腿段975-1地號,123.67,,一般農業區,水利用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,115010,930,,0.0,0,協議價購；,RPPOMLPLQHLGFDD68DA,0.0,0.0,0.0,無,011
