鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東山區,土地,東正段905地號,308.35,都市：其他:住宅區,,,1150801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6800000,22053,,0.0,0,地上未保存建物係領有使用執照之合法建物親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLNJQHLGFED28DA,0.0,0.0,0.0,無,
下營區,土地,大屯寮段530-17地號,482.0,,特定農業區,農牧用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,830,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；急買急賣；,RPPNMLOJQHLGFFD48DA,0.0,0.0,0.0,無,
柳營區,土地,旭山段287-6地號,217.5,,一般農業區,農牧用地,1150803,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,920,,0.0,0,,RPPNMLRJQHLGFDD68EA,0.0,0.0,0.0,無,
六甲區,土地,忠孝段766地號,71.38,都市：其他:住宅區,,,1150802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,863698,12100,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPNMLPJQHLGFFD68EA,0.0,0.0,0.0,無,
山上區,土地,豐德段406-6地號,1.0,,山坡地保育區,丙種建築用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000,0,,0.0,0,本買賣面積1平方公尺，實際上係補114.7月分割面積少0.5平方公尺，餘0.5平方公尺是本次買賣面積，金額新台幣10000元正。親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJQHLGFHD98EA,0.0,0.0,0.0,無,
安平區,房地(土地+建物),臺南市安平區建平十七街１６５號五樓之８,2.92,都市：其他:第三種商業區(附),,,1150712,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841121,33.849999999999994,1,1,1,有,有,2350000,69424,,0.0,0,,RPSNMLOLPHLGFAD38DA,19.62,0.0,5.28,有,
中西區,建物,臺南市中西區大同路一段４６巷７８號二樓之６,0.0,,,,1150702,土地0建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790113,25.58,1,0,1,有,有,650000,25410,,0.0,0,土地為向仁愛之家租賃使用。建物坐落地號：郡王祠段154地號；建物坐落地號：郡王祠段154地號；陽台外推；,RPQOMLSLPHLGFAD68DA,13.81,0.0,3.33,有,001
安南區,土地,安中段652-3地號,29.27,都市：其他:道路用地(兼供排水使用),,,1150722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,555840,18990,,0.0,0,包含公共設施保留地用地；,RPUNMLMLPHLGFBD48DA,0.0,0.0,0.0,無,
南區,房地(土地+建物),臺南市南區鹽埕路２９１巷３２弄３７號,110.23,住,,,1150711,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0630619,128.49,9,2,2,有,無,7000000,54479,,0.0,0,其他增建；,RPSNMLSLPHLGFCD98DA,128.49,0.0,0.0,無,
白河區,土地,白水溪段350地號,100.1,,森林區,林業用地,1150716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20000,200,,0.0,0,,RPPNMLLMPHLGFED28DA,0.0,0.0,0.0,無,002
官田區,土地,護安段734地號,120.26,商,,,1150717,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3090000,25694,,0.0,0,本案兩土地買賣雙方約定土地增值稅新台幣1萬9984元加上1022元合計為新台幣2萬1006元由買方負擔繳納,RPRNMLMLPHLGFFD58DA,0.0,0.0,0.0,無,
北門區,房地(土地+建物),臺南市北門區雙春村３０之１１號　　　,243.96,,一般農業區,農牧用地,1150708,土地3建物1車位0,全,二層,透天厝,農業用,加強磚造,0761015,305.49,6,2,2,有,無,4000000,13094,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPOMLOLPHLGFGD78DA,292.87,0.0,12.62,無,
學甲區,土地,宅子港段164-52地號,188.0,,鄉村區,乙種建築用地,1150722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1026000,5457,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMPHLGFGD48DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物)+車位,臺南市新市區永華二街２４號八樓,61.32,,特定專用區,甲種建築用地,1150704,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860825,182.1,4,2,2,有,有,8080000,44371,坡道平面,0.0,0,陽台外推；,RPPOMLNKPHLGFHD68DA,112.99,0.0,13.62,有,003
仁德區,房地(土地+建物)+車位,臺南市仁德區崇聖路一段６號十樓之６,22.12,住,,,1150708,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131015,153.43,3,2,2,有,有,14800000,109525,坡道平面,32.27,1530000,,RPSNMLKKPHLGFID68DA,78.38,0.0,5.27,有,
仁德區,房地(土地+建物),臺南市仁德區保安里保學一街１５號,97.51,住,,,1150717,土地3建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0960420,218.47,7,1,7,有,無,11000000,50350,,0.0,0,,RPXNMLLLPHLGFID76DA,201.07,0.0,17.4,無,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３５號四樓之９,23.77,商,,,1150716,土地1建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,141.32,3,2,2,有,有,13800000,106144,坡道平面,25.44,1500000,,RPVNMLMLPHLGFID66DA,68.27,0.0,7.17,有,004
歸仁區,房地(土地+建物)+車位,臺南市歸仁區大廟五街１３１巷８號五樓之２,23.06,,特定農業區,甲種建築用地,1150701,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1111124,91.84,2,2,1,有,有,7720000,84059,其他,15.08,0,,RPPNMLTLPHLGFID76DA,50.64,0.0,4.08,有,005
南區,房地(土地+建物),臺南市南區新慶街３３巷１９號,66.0,住,,,1150725,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0651007,124.44,3,2,2,有,無,6500000,52234,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLLMPHLGFCD18EA,124.44,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區大同路一段４６巷５０號四樓之９,9.95,商,,,1150702,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870706,39.099999999999994,1,1,1,有,有,4660000,119182,,0.0,0,,RPQNMLTLPHLGFAD68DA,26.52,0.0,2.29,有,006
中西區,土地,中山段633地號,14.3,商,,,1150708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,104895,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKMPHLGFAD38DA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區中山路６９號,19.43,商,,,1150708,土地4建物1車位0,全,三層,透天厝,住商用,新建磚牆補強鋼筋混凝土柱,0500531,35.52,3,1,4,有,無,1830000,51520,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLKMPHLGFAD48DA,35.52,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區南門路３１巷６號,22.39,商,,,1150715,土地1建物1車位0,全,三層,透天厝,住商用,磚造,0500000,71.0,0,3,1,有,無,1500000,21127,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMPHLGFAD87DA,71.0,0.0,0.0,無,
北區,房地(土地+建物),臺南市北區小東路３０７巷８弄５２號,69.7,住,,,1150714,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1140801,200.41,4,3,5,有,無,31000000,154683,,0.0,0,,RPUNMLLMPHLGFAD38DA,177.45,0.0,22.96,無,
