鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中西區,房地(土地+建物),臺南市中西區康樂街１５６號八樓之１５,3.97,都市：其他:商業區,,,1150804,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781002,37.42,1,0,1,有,有,2200000,58792,,0.0,0,,RPWOMLRJQHLGFAD09DA,27.21,0.0,3.06,有,
中西區,房地(土地+建物),臺南市中西區中華西路二段７８７號,113.07,都市：其他:住宅區,,,1150803,土地1建物1車位0,全,五層,透天厝,住商用,ＲＣ造,0930903,342.49,8,2,7,有,無,20000000,58396,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLLQHLGFAD97DA,312.23,0.0,30.26,有,
東區,房地(土地+建物),臺南市東區德東街９號三樓,33.33,都市：其他:住宅區,,,1150811,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701013,89.41,2,1,1,有,無,3500000,39146,,0.0,0,,RPQOMLSKQHLGFCD88DA,54.76,0.0,10.25,無,001
新營區,車位,臺南市新營區中正路５５號地下室,6.98,都市：其他:住宅區,,,1150808,土地1建物1車位1,地下一層,十五層,其他,商業用,鋼筋混凝土造,0840224,64.99000000000001,0,0,0,無,有,900000,,坡道平面,0.0,0,車位編號6號僅車位交易；,RPTNMLOKQHLGFDD78DA,0.0,0.0,0.0,有,002
新營區,車位,臺南市新營區中正路５５號地下室,6.98,都市：其他:住宅區,,,1150808,土地1建物1車位1,地下一層,十五層,其他,商業用,鋼筋混凝土造,0840224,64.99000000000001,0,0,0,無,有,900000,,坡道平面,0.0,0,車位編號5號僅車位交易；,RPUNMLOKQHLGFDD88DA,0.0,0.0,0.0,有,002
鹽水區,土地,田寮段1830地號,181.5,,特定農業區,農牧用地,1150812,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,239580,1320,,0.0,0,協議價購；,RPWOMLRKQHLGFDD86DA,0.0,0.0,0.0,無,004
鹽水區,土地,田寮段595-3地號,46.0,,特定農業區,農牧用地,1150812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60720,1320,,0.0,0,協議價購；,RPWPMLRKQHLGFDD96DA,0.0,0.0,0.0,無,005
鹽水區,土地,田寮段1841地號,2349.0,,特定農業區,農牧用地,1150812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3335580,1420,,0.0,0,協議價購；,RPOQMLRKQHLGFDD88DA,0.0,0.0,0.0,無,
鹽水區,土地,田寮段1828地號,3636.0,,特定農業區,農牧用地,1150812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5417640,1490,,0.0,0,協議價購；,RPPQMLRKQHLGFDD98DA,0.0,0.0,0.0,無,
鹽水區,土地,田寮段1851地號,1625.0,,特定農業區,農牧用地,1150812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2307500,1420,,0.0,0,協議價購；,RPQQMLRKQHLGFDD09DA,0.0,0.0,0.0,無,
鹽水區,土地,田寮段1842地號,671.0,,特定農業區,農牧用地,1150812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,952820,1420,,0.0,0,協議價購；,RPRQMLRKQHLGFDD56DA,0.0,0.0,0.0,無,006
鹽水區,土地,田寮段1842地號,672.0,,特定農業區,農牧用地,1150812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,954240,1420,,0.0,0,協議價購；,RPSQMLRKQHLGFDD66DA,0.0,0.0,0.0,無,006
