鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
北區,房地(土地+建物),臺南市北區成功路２３８巷５６號,108.04,商,,,1150715,土地3建物1車位0,全,一層,透天厝,住家用,加強磚造,0561220,25.52,2,2,1,有,無,7100000,278213,,0.0,0,,RPPOMLPKPHLGFAD18DA,25.52,0.0,0.0,無,
北區,房地(土地+建物)+車位,臺南市北區長榮路五段４１巷９號二樓之２,32.32,住,,,1150705,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920916,169.34,3,2,2,有,有,10000000,59053,坡道平面,0.0,0,車位僅使用權其他增建；,RPQOMLPKPHLGFAD28DA,101.11,0.0,9.1,有,
安南區,房地(土地+建物),臺南市安南區海前路２５８號,135.69,住,,,1150701,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130905,364.6,4,3,5,有,無,39600000,108612,,0.0,0,,RPQNMLKKPHLGFBD77DA,337.4,0.0,27.2,有,
安南區,房地(土地+建物),臺南市安南區本原街二段１３２巷６０弄１０號,247.65,住,,,1150702,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0820423,273.5,6,3,6,有,無,13580000,49653,,0.0,0,其他增建；,RPQOMLOKPHLGFBD28DA,263.16,0.0,10.34,無,
安南區,房地(土地+建物),臺南市安南區永安路７７號,70.45,工,,,1150710,土地1建物1車位0,全,二層,透天厝,住工用,加強磚造,0810608,767.77,4,3,2,有,無,3000000,3907,,0.0,0,土地售價150萬建物售價150萬親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRKPHLGFBD58DA,740.95,0.0,26.82,無,
南區,房地(土地+建物),臺南市南區新慶街１０巷１１號二樓之５,7.44,住,,,1150714,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800523,29.4,1,1,1,有,有,2000000,68027,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQKPHLGFCD88DA,20.84,0.0,2.88,有,
六甲區,房地(土地+建物),臺南市六甲區二甲里信義街２５１巷２弄２號,78.67,住,,,1150703,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720420,90.48,5,2,3,有,無,3900000,43103,,0.0,0,頂樓加蓋；其他增建；,RPQNMLRJPHLGFFD78DA,90.48,0.0,0.0,無,
麻豆區,土地,麻工段148地號,188.52,工,,,1150710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7128558,37813,,0.0,0,買方為共有人單坪125000元親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOKPHLGFFD09DA,0.0,0.0,0.0,無,001
六甲區,房地(土地+建物),臺南市六甲區七甲里中華路２４８巷１５弄７號,251.55,農,,,1150712,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1120530,245.38,5,2,4,有,無,17000000,69280,,0.0,0,,RPUNMLRKPHLGFFD66DA,226.9,0.0,18.48,無,
佳里區,房地(土地+建物),臺南市佳里區安西里光復路２９６號五樓之１３,4.07,商,,,1150708,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0701231,48.2,1,1,1,有,無,1100000,22822,,0.0,0,,RPRNMLKKPHLGFGD38DA,36.82,0.0,0.0,有,
新化區,房地(土地+建物),臺南市新化區中正路６６２巷３號,67.0,,特定農業區,甲種建築用地,1150708,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0650600,92.12,4,2,3,有,無,4000000,43422,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；未登記建物；,RPPNMLTKPHLGFHD56DA,92.12,0.0,0.0,無,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區高鐵大道３７號九樓之７,14.94,商,,,1150712,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141023,98.72,2,2,1,有,有,13080000,154612,坡道平面,25.44,1750000,,RPOOMLNKPHLGFID68DA,43.08,0.0,4.35,有,
關廟區,土地,龜洞段334-4地號,1804.0,,一般農業區,農牧用地,1150714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,277,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPKPHLGFID98DA,0.0,0.0,0.0,無,002
