鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
下營區,土地,麻豆寮段418-2地號,155.0,,鄉村區,乙種建築用地,1150701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,6452,,0.0,0,未登記建物；,RPQNMLLJPHLGFFD18DA,0.0,0.0,0.0,無,
東區,房地(土地+建物),臺南市東區裕農路３８９巷１弄４號,36.37,住,,,1150701,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760327,111.97,3,1,2,有,無,7500000,66982,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPNMLLJPHLGFCD77DA,100.21,5.12,0.0,無,001
東區,土地,竹篙厝段1457-17地號,90.0,住,,,1150706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11800000,131111,,0.0,0,,RPOOMLQJPHLGFCD28DA,0.0,0.0,0.0,無,
鹽水區,土地,義中段238地號,2415.85,,河川區,農牧用地,1150703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,497,,0.0,0,,RPPNMLSJPHLGFDD58DA,0.0,0.0,0.0,無,
東山區,土地,吉貝耍段1501地號,2110.0,,一般農業區,農牧用地,1150706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2050000,972,,0.0,0,,RPPNMLSJPHLGFED68DA,0.0,0.0,0.0,無,
白河區,土地,糞箕湖段糞箕湖小段83-1地號,78.67,,鄉村區,乙種建築用地,1150704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,191000,2428,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSJPHLGFED78DA,0.0,0.0,0.0,無,
官田區,土地,湖山段524地號,19.32,都市：其他:住宅區,,,1150702,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,240000,12422,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWNMLRJPHLGFFD76DA,0.0,0.0,0.0,無,
西港區,建物,臺南市西港區中山路３７９之２０號,0.0,,,,1150701,土地0建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1120322,288.48,5,2,6,有,無,17250000,59796,,0.0,0,建物坐落地號：港安段901-1地號；,RPQNMLTJPHLGFGD09DA,268.73,0.0,19.75,無,
安定區,土地,蘇安段898地號,1.52,住,,,1150702,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,67500,44408,,0.0,0,,RPPNMLTJPHLGFHD09DA,0.0,0.0,0.0,無,
麻豆區,土地,大埤段1260地號,26.96,都市：其他:道路用地,,,1150703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23189,860,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPNMLTJPHLGFFD98EA,0.0,0.0,0.0,無,
安平區,土地,妙壽段741地號,18.2,都市：其他:特定住宅專用區,,,1150606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1580000,86813,,0.0,0,本件買賣包含建物門牌：臺南市安平區運河路13巷3弄4號未保存登記建物。親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPXNMLKKOHLGFAD28DA,0.0,0.0,0.0,無,
北區,房地(土地+建物),臺南市北區開南街１４３巷５０弄４２號,45.0,住,,,1150601,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0590110,40.3,3,2,2,有,無,2900000,71960,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLNLOHLGFAD97DA,40.3,0.0,0.0,無,
安平區,房地(土地+建物)+車位,臺南市安平區建平十七街１２１號四樓之３,6.62,商,,,1150607,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,88.97,1,1,1,有,有,5380000,60470,坡道平面,0.0,0,,RPTNMLOLOHLGFAD38DA,37.01,0.0,3.5,有,
南區,房地(土地+建物)+車位,臺南市南區大同路二段１３６巷７號六樓之３,36.5,住,,,1150603,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881021,148.84,3,2,2,有,有,8000000,53749,坡道平面,0.0,0,,RPPNMLQKOHLGFCD28DA,89.52,0.0,8.8,有,
東區,房地(土地+建物)+車位,臺南市東區崇善十二街４９號二樓之２,25.58,住,,,1150602,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840307,132.92000000000002,3,2,1,有,有,9000000,67710,坡道機械,0.0,0,其他增建；,RPQNMLSKOHLGFCD58DA,81.03,0.0,10.94,有,
南區,土地,建南段770地號,300.6,都市：其他:保護區,,,1150617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4208400,14000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPLOHLGFCD28DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺南市東區長榮路一段２５６號五樓之６,6.11,商,,,1150612,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0821216,79.34,0,0,0,無,有,4000000,50416,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLPLOHLGFCD88DA,62.55,0.0,0.0,有,
東區,房地(土地+建物),臺南市東區大同路一段２４１巷６弄８號,22.45,商,,,1150601,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750610,81.21,3,1,1,有,無,2500000,30784,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLPLOHLGFCD68DA,66.72,0.0,0.0,無,002
後壁區,土地,頂平段672-7地號,747.28,,鄉村區,乙種建築用地,1150624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11390655,15243,,0.0,0,,RPPNMLTLOHLGFED88DA,0.0,0.0,0.0,無,
東山區,土地,二重溪段140-12地號,198.25,,鄉村區,乙種建築用地,1150629,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,3026,,0.0,0,,RPRNMLTLOHLGFED09DA,0.0,0.0,0.0,無,
西港區,土地,西埔段541地號,2348.03,,一般農業區,農牧用地,1150605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6800000,2896,,0.0,0,,RPPNMLQJOHLGFGD58DA,0.0,0.0,0.0,無,
七股區,土地,竹橋段1384地號,1595.0,,特定農業區,農牧用地,1150617,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1400000,878,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPPNMLKMOHLGFGD28DA,0.0,0.0,0.0,無,
七股區,土地,竹橋段963地號,1542.0,,特定農業區,農牧用地,1150617,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,1946,,0.0,0,農作物；,RPQNMLKMOHLGFGD38DA,0.0,0.0,0.0,無,
山上區,土地,明北段582地號,126.95,,鄉村區,乙種建築用地,1150601,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,450000,3545,,0.0,0,本案為二親等親屬間共有人應有部分買賣移轉，因土地持分流通性較低，且現受廟宇占用影響利用價值，故以新臺幣450000元成交；價差部分新臺幣565616元已依法申報贈與稅。親友、員工、共有人或其他特殊關係間之交易；,RPSNMLPJOHLGFHD88DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物),臺南市新市區延平街８號八樓之２２,6.03,商,,,1150602,土地2建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850522,36.07,1,1,1,有,有,2210000,61270,,0.0,0,,RPPNMLPLOHLGFHD78DA,19.96,0.0,3.01,有,
歸仁區,房地(土地+建物),臺南市歸仁區六甲里中正十五街１３３號,93.87,,一般農業區,甲種建築用地,1150601,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0810603,109.85,3,2,2,有,無,7250000,65999,,0.0,0,,RPPNMLQKOHLGFID88DA,88.06,15.66,6.13,無,
