鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鹽水區,房地(土地+建物),臺南市鹽水區北門路９巷６弄３０號,84.41,都市：其他:住宅區,,,1150803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850716,170.35,4,2,4,有,無,5400000,31699,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKQHLGFDD18EA,159.97,0.0,10.38,無,
北區,土地,立人段682地號,22.0,都市：其他:住宅區,,,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1880000,85455,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLTLPHLGFAD09DA,0.0,0.0,0.0,無,
大內區,房地(土地+建物),臺南市大內區石林里石子瀨２１９之１０號,103.15,都市：其他:住宅區,,,1150801,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0721128,104.9,2,2,2,有,無,2300000,21926,,0.0,0,,RPTNMLQJQHLGFFD09DA,95.54,0.0,9.36,無,
官田區,土地,葫蘆埤段246-2地號,2963.44,,特定農業區,農牧用地,1150804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2518924,850,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKQHLGFFD28DA,0.0,0.0,0.0,無,
北區,房地(土地+建物)+車位,臺南市北區長榮路五段４１巷９號八樓之３,8.08,都市：其他:住宅區,,,1150806,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920916,42.33,3,2,2,有,有,1500000,35436,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXQMLKKQHLGFAD78DA,25.28,0.0,2.26,有,
北區,房地(土地+建物)+車位,臺南市北區林森路三段１５５號十六樓之３,23.31,都市：其他:住宅區,,,1150801,土地5建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1080726,243.58999999999997,3,2,3,有,有,35000000,143684,坡道平面,27.48,0,,RPROMLLKQHLGFAD08DA,128.93,0.0,14.02,有,001
安南區,土地,十二佃段120地號,5598.46,都市：其他:工業區,,,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,101935081,18208,,0.0,0,政府機關標讓售；,RPSNMLNJQHLGFBD28DA,0.0,0.0,0.0,無,
安南區,房地(土地+建物)+車位,臺南市安南區淵西路１６５號四樓之２,44.27,都市：其他:住宅區,,,1150806,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150127,132.14000000000001,3,2,2,有,無,10120000,77783,一樓平面,14.89,1000000,,RPTOMLQJQHLGFBD78DA,76.12,0.0,7.64,有,
安南區,房地(土地+建物)+車位,臺南市安南區淵西路１６５號四樓之３,44.27,都市：其他:住宅區,,,1150806,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150127,132.14000000000001,3,2,2,有,無,10120000,77783,一樓平面,14.89,1000000,,RPUOMLQJQHLGFBD88DA,76.12,0.0,7.64,有,
南區,土地,喜北段477地號,299.78,都市：其他:綠地,,,1150804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2611000,8710,,0.0,0,未登記建物；包含公共設施保留地用地；,RPTNMLPJQHLGFCD68DA,0.0,0.0,0.0,無,002
東區,車位,臺南市東區崇善路２５巷９６號,1.07,都市：其他:副都心商業區,,,1150809,土地1建物1車位1,一層,十四層,其他,辦公室。,鋼筋混凝土造,0990507,23.95,0,0,0,無,無,1200000,,坡道平面,23.95,1200000,僅車位交易；,RPUNMLMKQHLGFCD58DA,0.0,0.0,0.0,有,003
新營區,土地,忠政段1538-1地號,1.82,都市：其他:住宅區,,,1150804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,54945,,0.0,0,,RPQNMLNJQHLGFDD28DA,0.0,0.0,0.0,無,
鹽水區,土地,汫水段422地號,1934.44,,一般農業區,農牧用地,1150805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,827,,0.0,0,,RPPNMLRJQHLGFDD58DA,0.0,0.0,0.0,無,
佳里區,房地(土地+建物),臺南市佳里區麻興路二段５２１號,100.0,,鄉村區,乙種建築用地,1150805,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造、磚木造,0770213,191.63,5,3,4,有,無,1140100,5949,,0.0,0,登記費用土地增值稅房屋契稅全部由承買人負擔親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLLKQHLGFGD38DA,179.13,0.0,12.5,無,
北門區,房地(土地+建物),臺南市北門區三光里２鄰三寮灣５１號,102.26,,鄉村區,乙種建築用地,1150803,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701128,101.06,1,2,1,有,無,460000,4552,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLKQHLGFGD58DA,94.79,0.0,6.27,無,
六甲區,房地(土地+建物),臺南市六甲區中山路３４４號,24.0,都市：其他:住宅區,,,1150809,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0711016,46.45,4,2,3,有,無,1000000,21529,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKQHLGFFD58EA,43.74,0.0,2.71,無,
後壁區,土地,長短樹段4431地號,2213.0,,特定農業區,農牧用地,1150803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2323650,1050,,0.0,0,,RPPNMLKKQHLGFED08DA,0.0,0.0,0.0,無,
後壁區,土地,土溝段2700地號,2373.0,,特定農業區,農牧用地,1150812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2300000,969,,0.0,0,,RPPNMLNKQHLGFED38DA,0.0,0.0,0.0,無,
大內區,房地(土地+建物),臺南市大內區石城里石子瀨１１２之２９號,81.94,都市：其他:住宅區,,,1150810,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750715,108.81,2,2,3,有,無,2200000,20219,,0.0,0,其他增建；未登記建物；,RPRNMLKKQHLGFFD38DA,106.16,0.0,2.65,無,
下營區,土地,茅港尾段4771地號,104.02,,鄉村區,乙種建築用地,1150807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,1923,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMKQHLGFFD48DA,0.0,0.0,0.0,無,
關廟區,房地(土地+建物),臺南市關廟區成功路１１８號,74.0,都市：其他:住宅區,,,1150803,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0661122,177.8,6,2,3,有,無,7350000,41339,,0.0,0,,RPRNMLMKQHLGFID88DA,170.53,5.87,1.4,無,
