鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永康區,房地(土地+建物)+車位,臺南市永康區忠孝路與忠孝路76巷交叉口,10.88,商,,,1150621,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.4,3,2,2,有,無,12310000,134743,坡道機械,9.72,900000,,RPPOMLNKPHLGFKD98CB,聯上豐實,A棟7號,
安南區,房地(土地+建物)+車位,臺南市安南區安中路四段211巷附近,32.02,住,,,1150630,土地4建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.68,3,2,2,有,無,8700000,82295,一樓平面,14.19,1500000,,RPPNMLPKPHLGFBD18CB,合恆 寓紳鄰-曙光,B棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區永續路與永續一街口,18.27,住,,,1150627,土地1建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.33,2,2,2,有,無,15900000,127939,坡道平面,28.34,1700000,,RPVNMLPKPHLGFBD78CB,一字得,A3號,
安南區,房地(土地+建物)+車位,臺南市安南區永續路與永續一街口,10.62,住,,,1150627,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.35,0,0,0,無,無,10050000,122370,坡道平面,28.34,1850000,,RPWNMLPKPHLGFBD88CB,一字得,B2號,
安南區,房地(土地+建物)+車位,臺南市安南區永續路,24.86,住,,,1150627,土地1建物1車位2,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,194.99,2,2,2,有,無,21000000,117002,坡道平面,45.42,3500000,,RPXNMLPKPHLGFBD98CB,一字寬,A1棟18號,
善化區,房地(土地+建物)+車位,臺南市善化區善成段1361地號,28.8,住,,,1150627,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,110.63,2,2,2,有,無,11718000,110414,一樓平面,21.71,1900000,,RPPNMLRKPHLGFHD98CB,德和擇善,A棟3號,
永康區,房地(土地+建物)+車位,臺南市永康區平道段239地號,14.43,商,,,1150627,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,115.83,2,2,1,有,無,10150000,106480,坡道機械,28.49,850000,,RPSNMLRKPHLGFKD96CB,瑞築序,B7棟12F號,
永康區,房地(土地+建物)+車位,臺南市永康區平道段239地號,12.25,商,,,1150629,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,102.77,2,2,1,有,無,8650000,105008,坡道機械,28.49,850000,,RPTNMLRKPHLGFKD07CB,瑞築序,B6棟12F號,
鹽水區,房地(土地+建物),臺南市鹽水區康樂路26巷旁,112.3,住,,,1150628,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,221.74,5,2,5,有,無,19500000,87941,,0.0,0,,RPPOMLLLPHLGFDD18CB,水月里仁第二期,A棟8號,
北區,房地(土地+建物)+車位,臺南市北區前鋒路,9.77,住,,,1150626,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.79,2,1,2,有,無,17400000,185644,坡道平面,19.99,2400000,本案申報土地面積及權利範圍係以臺南市北區東興段911-1、911-5、925-3、926-1地號土地都市更新事業計畫暨權利變換計畫案核定基地座落面積5131.67平方公尺計算。交易總價含下列非屬預售屋價格之費用:家電費,RPPNMLNLPHLGFAD97CB,成大之森,A棟A03-14F號,
永康區,房地(土地+建物)+車位,臺南市永康區復國一路529號旁,21.35,住,,,1150627,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.84,2,2,2,有,無,12800000,108235,坡道平面,30.41,1930000,,RPPNMLNLPHLGFKD98CB,佳晟家和,B2棟0號,
安南區,房地(土地+建物)+車位,臺南市安南區宜居二路,16.62,住,,,1150628,土地1建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.65,2,2,1,有,無,13000000,119180,坡道機械,15.64,1200000,,RPQNMLOLPHLGFBD28CB,皇龍天韻,B棟1號,
