鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永康區,房地(土地+建物)+車位,臺南市永康區平道二路,19.49,商,,,1150601,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.6,3,2,2,有,無,17350000,116327,坡道平面,50.39,3250000,本案土地標示平道段227、228地號等兩筆於民國115年05月14日合併為平道段227地號。,RPVNMLLJOHLGFKD09CB,春福詠序,A棟2號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,26.08,住,,,1150602,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.82,3,2,2,有,無,14340000,105903,坡道平面,28.41,1800000,,RPPNMLQJOHLGFHD68CB,佳鋐科匯,B2棟0號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,87.88,住,,,1150606,土地5建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,187.84,4,2,4,有,無,23080000,122871,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-14地號，價格8萬。,RPPNMLQJOHLGFID78CB,森樂章,A棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,8.01,住,,,1150601,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.81,2,2,1,有,無,9600000,99267,坡道機械,7.19,1200000,,RPTNMLRJOHLGFBD58CB,悦讀耶魯,B棟05號,
永康區,房地(土地+建物)+車位,臺南市永康區大灣段0495地號,22.65,住,,,1150607,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.2,2,2,2,有,無,10350000,109023,一樓平面,26.4,1650000,,RPPNMLSJOHLGFKD56CB,連建安什,A棟6號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,26.19,住,,,1150608,土地1建物1車位2,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,177.97,0,0,1,有,無,21800000,154980,坡道平面,58.6,3300000,,RPPNMLTJOHLGFBD38CB,佳展安和,S10棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150602,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.99,2,2,2,有,無,10390000,100810,坡道平面,29.3,1550000,,RPQNMLTJOHLGFBD48CB,佳展安和,A5棟9號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150602,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,8730000,91365,坡道平面,29.3,1450000,,RPRNMLTJOHLGFBD58CB,佳展安和,B5棟3號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150608,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,9050000,94127,坡道平面,29.3,1550000,,RPSNMLTJOHLGFBD68CB,佳展安和,B5棟15號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150608,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.99,2,2,2,有,無,10290000,99669,坡道平面,29.3,1550000,,RPTNMLTJOHLGFBD78CB,佳展安和,A5棟7號,
鹽水區,房地(土地+建物),臺南市鹽水區蔦松路201巷,144.0,,特定農業區,甲種建築用地,1150606,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,187.6,4,2,5,有,無,12800000,68230,,0.0,0,,RPPNMLTJOHLGFDD58CB,仙盈大鎮 第二期,Z棟13號,
鹽水區,房地(土地+建物),臺南市鹽水區蔦松路201巷,102.0,,特定農業區,甲種建築用地,1150602,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,187.52,4,2,5,有,無,13380000,71352,,0.0,0,,RPQNMLTJOHLGFDD68CB,仙盈大鎮 第二期,X棟12號,
東區,房地(土地+建物)+車位,臺南市東區裕和五街/裕誠街口,34.81,住,,,1150601,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.13,3,2,2,有,無,23000000,155147,坡道平面,26.13,1900000,,RPPNMLKKOHLGFCD67CB,日東昇Park626,A棟1號,
