鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永康區,房地(土地+建物)+車位,臺南市永康區仁愛街,25.05,住,,,1150702,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.16,3,2,2,有,無,15300000,113664,坡道平面,26.67,1150000,,RPPNMLMJPHLGFKD68CB,春福淳青,A棟1號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,25.07,住,,,1150704,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,125.48,2,2,2,有,無,10380000,99064,坡道平面,36.85,1600000,,RPPNMLPJPHLGFHD68CB,白樓2璞域,壹棟C號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,26.25,住,,,1150704,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.63,2,2,2,有,無,10640000,98513,坡道平面,36.85,1500000,,RPQNMLPJPHLGFHD78CB,白樓2璞域,壹棟D號,
善化區,房地(土地+建物),臺南市善化區田寮里六分寮74-1號南側,24.61,,鄉村區,乙種建築用地,1150701,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.05,2,2,2,有,無,6800000,84947,,0.0,0,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPPNMLQJPHLGFHD78CB,善化金星,A1棟3樓號,
永康區,房地(土地+建物)+車位,臺南市永康區永大路三段469巷,82.59,住,,,1150703,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,177.23,4,2,4,有,無,21700000,122440,一樓平面,0.0,0,,RPPNMLRJPHLGFKD56CB,上賦大苑,A棟11號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150707,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.82,2,2,2,有,無,9910000,96664,坡道平面,29.3,1450000,,RPSNMLSJPHLGFBD68CB,佳展安和,B2棟12號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,30.3,住,,,1150707,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.31,4,2,2,有,無,14900000,95350,坡道平面,29.3,1550000,,RPUNMLSJPHLGFBD88CB,佳展安和,C2棟5號,
仁德區,房地(土地+建物)+車位,臺南市仁德區仁義六街20巷,17.55,住,,,1150701,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.33,2,2,2,有,無,9940000,97095,坡道平面,30.92,1550000,,RPPNMLSJPHLGFID09CB,佳晟家仁,A2棟5F號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,33.88,住,,,1150703,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.63,3,2,2,有,無,12900000,95174,坡道平面,36.85,1500000,,RPPNMLTJPHLGFHD09CB,白樓2璞域,壹棟B號,
歸仁區,房地(土地+建物),臺南市歸仁區七甲二街57巷,85.28,,鄉村區,乙種建築用地,1150704,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,181.4,5,2,3,有,無,15380000,84785,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJPHLGFID56CB,夏川7期,B棟3號,
歸仁區,房地(土地+建物),臺南市歸仁區七甲二街57巷,85.28,,鄉村區,乙種建築用地,1150709,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,179.39,5,2,3,有,無,15100000,84174,,0.0,0,,RPQNMLTJPHLGFID66CB,夏川7期,B棟5號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,19.9,住,,,1150707,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.34,2,2,1,有,無,11370000,105246,坡道平面,28.41,1800000,,RPPNMLKKPHLGFHD28CB,佳鋐科匯,A6棟0號,
