鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,28.53,住,,,1150723,土地2建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.49,2,2,2,有,無,9950000,104935,一樓平面,14.87,1700000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLPHLGFID78CB,府居柏金,A棟5號,
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,18.56,住,,,1150721,土地2建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.65,2,2,1,有,無,9500000,100471,坡道平面,27.03,1400000,,RPPNMLPLPHLGFKD56CB,上宇LINK,A棟6號,
東區,房地(土地+建物)+車位,臺南市東區中華東路一段與瑞祥街交叉口,15.84,商,,,1150724,土地2建物1車位1,十五層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,192.31,4,2,2,有,無,32520000,181599,坡道平面,26.45,2400000,,RPPNMLRLPHLGFCD58CB,浩瀚無極,B棟B2號,
東區,房地(土地+建物)+車位,臺南市東區裕忠路與裕興街口,24.65,住,,,1150722,土地3建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.46,3,2,2,有,無,21400000,193834,坡道平面,39.18,2350000,,RPQNMLRLPHLGFCD68CB,宗大虎隱,A2棟12號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,11.02,住,,,1150725,土地6建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.75,1,2,1,有,無,12000000,145234,坡道平面,29.24,2050000,,RPRNMLRLPHLGFCD78CB,宏福悅,C棟C9-14F號,
永康區,房地(土地+建物)+車位,臺南市永康區平道路與永運一路交叉路口,26.26,商,,,1150722,土地1建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,228.0,4,2,2,有,無,21900000,113366,坡道平面,68.34,3800000,,RPQNMLRLPHLGFKD86CB,櫻花南科之櫻,B1棟3號,
佳里區,房地(土地+建物)+車位,臺南市佳里區佳西路482號對面,41.19,住,,,1150726,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.05,3,2,2,有,無,9520000,77731,一樓平面,11.5,1160000,,RPPNMLSLPHLGFGD09CB,慕光里2,A棟5號,
玉井區,房地(土地+建物),臺南市玉井區玉興段1098-3號,111.53,住,,,1150721,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,203.17,5,2,5,有,無,15500000,76291,,0.0,0,,RPQNMLSLPHLGFJD86CB,森山景,A棟3號,
玉井區,房地(土地+建物),臺南市玉井區玉興段1098-10號,123.06,住,,,1150727,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,170.85,4,2,4,有,無,15450000,90430,,0.0,0,,RPSNMLSLPHLGFJD07CB,森山景,D棟5號,
