鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安南區,房地(土地+建物)+車位,臺南市安南區宜居路府安路六段,31.99,住,,,1150802,土地1建物1車位1,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.87,3,2,2,有,無,15580000,108795,坡道平面,37.75,1750000,,RPQNMLNJQHLGFBD08CB,太穩森居,B棟2號,
安南區,房地(土地+建物)+車位,臺南市安南區宜居路府安路六段,29.37,住,,,1150802,土地1建物1車位1,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.47,3,2,2,有,無,14360000,106751,坡道平面,37.75,1900000,,RPRNMLNJQHLGFBD18CB,太穩森居,A棟3號,
永康區,房地(土地+建物)+車位,臺南市永康區王行路898巷,27.62,住,,,1150803,土地2建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.56,3,2,2,有,無,12340000,91525,坡道平面,27.03,1400000,,RPQNMLNJQHLGFKD98CB,上宇LINK,A棟3號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,24.65,住,,,1150803,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.47,3,2,2,有,無,13080000,100114,坡道平面,29.3,1650000,,RPPNMLPJQHLGFBD18CB,佳展安和,A6棟12號,
新營區,房地(土地+建物)+車位,臺南市新營區民族路25號旁,74.47,住,,,1150805,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,182.9,3,2,5,有,無,15520000,84855,一樓平面,13.75,0,,RPPNMLPJQHLGFDD48DB,賀守宅No.7,C棟5號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,26.08,住,,,1150803,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,146.82,3,2,2,有,無,14630000,107508,坡道平面,28.41,1900000,,RPRNMLTJQHLGFHD76CB,佳鋐科匯,B2棟0號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,28.14,住,,,1150803,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,184.08,3,2,2,有,無,17660000,107339,坡道平面,56.82,4000000,,RPSNMLTJQHLGFHD86CB,佳鋐科匯,B5棟0號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,28.14,住,,,1150803,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.98,3,2,2,有,無,17330000,108675,坡道平面,55.72,3500000,,RPTNMLTJQHLGFHD96CB,佳鋐科匯,B5棟0號,
中西區,房地(土地+建物)+車位,臺南市中西區北門路一段123巷,13.2,商,,,1150802,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.7,2,2,1,有,無,12350000,155732,升降機械,13.35,1550000,,RPPNMLKKQHLGFAD67CB,北門路案,A棟4A號,
