鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安南區,房地(土地+建物)+車位,臺南市安南區宜居路府安路六段,31.91,住,,,1150713,土地1建物1車位2,十七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,202.3,3,2,2,有,無,20000000,129732,坡道平面,75.5,3550000,,RPPNMLOKPHLGFBD08CB,太穩森居,B棟3號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150714,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,8750000,91616,坡道平面,29.3,1450000,,RPSNMLPKPHLGFBD48CB,佳展安和,B3棟2號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,16.95,住,,,1150714,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.98,2,2,1,有,無,9250000,97892,坡道平面,29.3,1450000,,RPTNMLPKPHLGFBD58CB,佳展安和,B5棟9號,
仁德區,房地(土地+建物),臺南市仁德區仁義六街20巷,19.25,住,,,1150712,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.99,2,2,2,有,無,8880000,93484,,0.0,0,,RPQNMLPKPHLGFID98CB,佳晟家仁,B1棟4F號,
永康區,房地(土地+建物)+車位,臺南市永康區永大二路永吉路,14.16,商,,,1150713,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.36,3,2,2,有,無,14300000,111261,坡道平面,33.91,1900000,,RPPNMLQKPHLGFKD56CB,時代至上,A棟3號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,18.87,住,,,1150714,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.22,2,2,2,有,無,10900000,107299,坡道平面,28.41,1800000,,RPPNMLSKPHLGFHD09CB,佳鋐科匯,A3棟0號,
善化區,房地(土地+建物),臺南市善化區龍目井路與陽光三路交叉口,19.9,住,,,1150714,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.93,2,2,1,有,無,9180000,100957,,0.0,0,,RPQNMLSKPHLGFHD56CB,佳鋐科匯,A6棟0號,
新化區,房地(土地+建物)+車位,臺南市新化區民生路234巷,26.25,住,,,1150712,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.63,2,2,2,有,無,10880000,98944,坡道平面,36.85,1700000,,RPPNMLTKPHLGFHD56CB,白樓2璞域,壹棟D號,
新化區,房地(土地+建物),臺南市新化區唪口68號旁,22.99,,鄉村區,乙種建築用地,1150718,土地3建物1車位0,五層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,73.73,2,2,1,有,無,5970000,80971,,0.0,0,,RPQNMLTKPHLGFHD66CB,永鄰6,5F-D號,
