鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永康區,房地(土地+建物)+車位,臺南市永康區富強路二段,24.7,住,,,1150612,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,78.99,2,2,2,有,無,7090000,88199,其他,6.54,700000,,RPPNMLPKOHLGFKD98CB,安居樂業．永康富強,B棟5F-J1號,
安南區,房地(土地+建物),臺南市安南區功安二街,24.54,住,,,1150614,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.44,2,2,2,有,無,6800000,93871,,0.0,0,,RPPNMLQKOHLGFBD18CB,豐揚．森晴,A棟3號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,14.38,住,,,1150612,土地6建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.71,2,2,2,有,無,14970000,143847,坡道平面,29.24,2100000,,RPPNMLRKOHLGFCD38CB,宏福悅,C棟C1-11F號,
仁德區,房地(土地+建物)+車位,臺南市仁德區仁義六街20巷,23.56,住,,,1150614,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.08,3,2,2,有,無,13220000,100465,坡道平面,30.92,1550000,,RPPNMLRKOHLGFID98CB,佳晟家仁,B2棟9F號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,25.73,住,,,1150616,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.55,3,2,2,有,無,13940000,104529,坡道平面,28.41,1800000,,RPPNMLSKOHLGFHD98CB,佳鋐科匯,A1棟0號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,25.73,住,,,1150616,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.55,3,2,2,有,無,14100000,105907,坡道平面,28.41,1800000,,RPQNMLSKOHLGFHD09CB,佳鋐科匯,A1棟0號,
麻豆區,房地(土地+建物)+車位,臺南市麻豆區建南街,37.33,住,,,1150614,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.05,2,2,2,有,無,8800000,81037,一樓平面,16.5,1300000,,RPPNMLSKOHLGFFD88DB,梧址境2,B棟3號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,26.19,住,,,1150615,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.87,3,2,2,有,無,12990000,94102,坡道平面,29.3,1550000,,RPPNMLTKOHLGFBD48CB,佳展安和,C1棟15號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,19.0,住,,,1150615,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.86,2,2,2,有,無,10320000,99029,坡道平面,29.3,1550000,,RPQNMLTKOHLGFBD58CB,佳展安和,A2棟7號,
